Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Andhra Pradesh,31-01-2020,M,5.85,15418737,41.77,South
Andhra Pradesh,29-02-2020,M,6.61,15081472,39.72,South
Andhra Pradesh,31-03-2020,M,5.63,15623919,41.0,South
Andhra Pradesh,30-04-2020,M,20.14,13440409,36.32,South
Andhra Pradesh,31-05-2020,M,18.8,13333887,36.92,South
Andhra Pradesh,30-06-2020,M,9.85,14985167,39.67,South
Andhra Pradesh,31-07-2020,M,9.37,15042642,39.75,South
Andhra Pradesh,31-08-2020,M,7.9,15405761,40.81,South
Andhra Pradesh,30-09-2020,M,6.0,16140267,40.61,South
Andhra Pradesh,31-10-2020,M,4.87,15632981,41.64,South
Bihar,31-01-2020,M,12.32,23080442,36.36,East
Bihar,29-02-2020,M,9.98,23969767,37.94,East
Bihar,31-03-2020,M,11.62,23072686,37.43,East
Bihar,30-04-2020,M,24.33,20214406,32.84,East
Bihar,31-05-2020,M,19.45,21333033,34.89,East
Bihar,30-06-2020,M,17.11,21703289,34.28,East
Bihar,31-07-2020,M,14.32,22299568,37.62,East
Bihar,31-08-2020,M,13.83,22778745,36.64,East
Bihar,30-09-2020,M,11.82,23528855,36.85,East
Bihar,31-10-2020,M,10.42,23927543,37.01,East
Delhi,31-01-2020,M,10.19,3972784,37.58,North
Delhi,29-02-2020,M,12.32,3954182,39.19,North
Delhi,31-03-2020,M,11.21,4005173,39.13,North
Delhi,30-04-2020,M,25.52,3318356,33.5,North
Delhi,31-05-2020,M,17.92,3720792,35.36,North
Delhi,30-06-2020,M,17.8,3723679,37.24,North
Delhi,31-07-2020,M,13.74,3877232,35.93,North
Delhi,31-08-2020,M,11.48,3923664,38.43,North
Delhi,30-09-2020,M,10.63,3998684,39.8,North
Delhi,31-10-2020,M,11.29,4035998,37.57,North
Gujarat,31-01-2020,M,3.95,21775900,42.76,West
Gujarat,29-02-2020,M,5.21,21237187,43.53,West
Gujarat,31-03-2020,M,4.49,21772597,41.65,West
Gujarat,30-04-2020,M,19.63,18548977,37.5,West
Gujarat,31-05-2020,M,15.0,19249528,39.4,West
Gujarat,30-06-2020,M,9.04,21183078,42.33,West
Gujarat,31-07-2020,M,4.19,21825495,41.68,West
Gujarat,31-08-2020,M,5.87,21855648,41.71,West
Gujarat,30-09-2020,M,2.44,22098099,43.41,West
Gujarat,31-10-2020,M,5.21,22455688,46.01,West
Karnataka,31-01-2020,M,3.0,22935093,39.67,South
Karnataka,29-02-2020,M,2.82,23038496,41.38,South
Karnataka,31-03-2020,M,1.77,23526493,42.87,South
Karnataka,30-04-2020,M,19.48,19024847,34.12,South
Karnataka,31-05-2020,M,14.14,21152578,37.83,South
Karnataka,30-06-2020,M,5.44,22291132,39.6,South
Karnataka,31-07-2020,M,8.27,21743108,41.51,South
Karnataka,31-08-2020,M,5.89,22717678,40.85,South
Karnataka,30-09-2020,M,2.45,23181793,42.25,South
Karnataka,31-10-2020,M,1.95,23098438,40.52,South
Maharashtra,31-01-2020,M,7.31,37006496,42.16,West
Maharashtra,29-02-2020,M,6.96,36442097,43.31,West
Maharashtra,31-03-2020,M,7.36,35905637,43.11,West
Maharashtra,30-04-2020,M,19.7,31403606,37.01,West
Maharashtra,31-05-2020,M,17.77,32899698,38.78,West
Maharashtra,30-06-2020,M,12.75,33462421,39.74,West
Maharashtra,31-07-2020,M,10.74,34810249,40.4,West
Maharashtra,31-08-2020,M,9.84,35208333,42.27,West
Maharashtra,30-09-2020,M,4.64,37163302,41.16,West
Maharashtra,31-10-2020,M,5.64,36316645,41.67,West
Tamil Nadu,31-01-2020,M,2.9,25695632,40.53,South
Tamil Nadu,29-02-2020,M,1.22,26539780,41.5,South
Tamil Nadu,31-03-2020,M,2.45,26868049,40.35,South
Tamil Nadu,30-04-2020,M,18.93,21968564,34.59,South
Tamil Nadu,31-05-2020,M,9.65,24478048,40.31,South
Tamil Nadu,30-06-2020,M,6.76,25067266,36.94,South
Tamil Nadu,31-07-2020,M,6.32,25751715,38.32,South
Tamil Nadu,31-08-2020,M,3.41,26015526,37.97,South
Tamil Nadu,30-09-2020,M,1.16,26334545,40.41,South
Tamil Nadu,31-10-2020,M,0.5,26273817,42.63,South
Telangana,31-01-2020,M,5.66,11135131,40.84,South
Telangana,29-02-2020,M,10.69,10529323,38.63,South
Telangana,31-03-2020,M,7.61,11374302,38.01,South
Telangana,30-04-2020,M,19.28,9749113,34.72,South
Telangana,31-05-2020,M,13.63,10327919,35.91,South
Telangana,30-06-2020,M,10.41,10827226,38.66,South
Telangana,31-07-2020,M,10.2,10784996,38.1,South
Telangana,31-08-2020,M,11.98,10546468,39.55,South
